	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Abalistes filamentosus	shortand/ordeep	32.5	saltwater	pelagic-neritic	61	180	dioecism	external	NA
Abalistes stellatus	shortand/ordeep	60	saltwater	demersal	7	350	dioecism	external	guarders
Abantennarius bermudensis	shortand/ordeep	7.599999905	saltwater	reef-associated	4	30	dioecism	external	nonguarders
Abantennarius coccineus	shortand/ordeep	13	saltwater	reef-associated	10	75	dioecism	external	nonguarders
Abantennarius dorehensis	shortand/ordeep	14	saltwater	reef-associated	0	10	dioecism	external	nonguarders
Abantennarius duescus	shortand/ordeep	3	saltwater	demersal	NA	137	dioecism	external	nonguarders
Abantennarius nummifer	shortand/ordeep	13	saltwater	reef-associated	0	293	dioecism	external	nonguarders
Abantennarius rosaceus	shortand/ordeep	5.800000191	saltwater	reef-associated	0	130	dioecism	external	nonguarders
Abantennarius sanguineus	shortand/ordeep	8.199999809	saltwater	reef-associated	0	40	dioecism	external	nonguarders
Ablabys taenianotus	shortand/ordeep	15	saltwater	benthopelagic	1	78	NA	NA	NA
Ablennes hians	elongated	140	saltwater/brack	reef-associated	0	3	dioecism	external	nonguarders
Abramis brama	fusiform/normal	82	brack/fresh	benthopelagic	1	NA	dioecism	external	nonguarders
Abudefduf abdominalis	shortand/ordeep	30	saltwater	reef-associated	1	50	dioecism	external	guarders
Abudefduf bengalensis	shortand/ordeep	17	saltwater	reef-associated	1	6	dioecism	external	guarders
Abudefduf concolor	shortand/ordeep	19	saltwater	reef-associated	0	12	dioecism	external	guarders
Abudefduf declivifrons	shortand/ordeep	18	saltwater	reef-associated	1	5	dioecism	external	guarders
Abudefduf natalensis	shortand/ordeep	17	saltwater	reef-associated	1	25	dioecism	external	guarders
Abudefduf notatus	shortand/ordeep	17	saltwater	reef-associated	1	12	dioecism	external	guarders
Abudefduf saxatilis	shortand/ordeep	22.89999962	saltwater	reef-associated	0	20	dioecism	external	guarders
Abudefduf septemfasciatus	shortand/ordeep	23	saltwater	reef-associated	0	3	dioecism	external	guarders
Abudefduf sexfasciatus	shortand/ordeep	19	saltwater	reef-associated	1	20	dioecism	external	guarders
Abudefduf sordidus	shortand/ordeep	24	saltwater/brack	reef-associated	0	3	dioecism	external	guarders
Abudefduf sparoides	shortand/ordeep	16	saltwater	reef-associated	0	6	dioecism	external	guarders
Abudefduf taurus	shortand/ordeep	25	saltwater	reef-associated	1	5	dioecism	external	guarders
Abudefduf troschelii	shortand/ordeep	20	saltwater	reef-associated	1	12	dioecism	external	guarders
Abudefduf vaigiensis	shortand/ordeep	20	saltwater	reef-associated	1	15	dioecism	external	guarders
Abudefduf whitleyi	shortand/ordeep	14	saltwater	reef-associated	1	5	dioecism	external	guarders
Acanthaluteres brownii	shortand/ordeep	55	saltwater	reef-associated	NA	50	NA	NA	NA
Acanthaluteres spilomelanurus	shortand/ordeep	14	saltwater/brack	demersal	NA	NA	NA	NA	NA
Acanthaphritis grandisquamis	elongated	NA	saltwater	demersal	48	217	NA	NA	NA
Acanthemblemaria aspera	elongated	4	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Acanthemblemaria atrata	elongated	3.200000048	saltwater	demersal	5	31	dioecism	external	nonguarders
Acanthemblemaria chaplini	elongated	4.5	saltwater	demersal	2	12	NA	NA	NA
Acanthemblemaria crockeri	elongated	6	saltwater	reef-associated	1	60	NA	NA	NA
Acanthemblemaria exilispinus	elongated	5.5	saltwater	reef-associated	1	5	NA	NA	NA
Acanthemblemaria greenfieldi	elongated	3.599999905	saltwater	reef-associated	NA	NA	NA	NA	NA
Acanthemblemaria hancocki	elongated	4.5	saltwater	reef-associated	1	5	NA	NA	NA
Acanthemblemaria macrospilus	elongated	6	saltwater	reef-associated	2	15	NA	NA	NA
Acanthemblemaria mangognatha	elongated	3.089999914	saltwater	demersal	1	31	NA	NA	NA
Acanthemblemaria maria	elongated	5.099999905	saltwater	reef-associated	NA	NA	NA	NA	NA
Acanthemblemaria paula	elongated	1.799999952	saltwater	reef-associated	1	2	NA	NA	NA
Acanthemblemaria spinosa	elongated	3.099999905	saltwater	reef-associated	1	12	NA	NA	NA
Acanthistius brasilianus	fusiform/normal	60	saltwater/brack	benthopelagic	15	82	dioecism	external	nonguarders
Acanthistius cinctus	fusiform/normal	50	saltwater	reef-associated	30	NA	NA	NA	NA
Acanthistius ocellatus	fusiform/normal	45	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Acanthistius pardalotus	fusiform/normal	NA	saltwater	reef-associated	NA	36	dioecism	external	nonguarders
Acanthistius patachonicus	fusiform/normal	31	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Acanthistius sebastoides	fusiform/normal	35	saltwater	demersal	1	30	dioecism	external	nonguarders
Acanthistius serratus	fusiform/normal	50	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Acanthocepola abbreviata	elongated	30	saltwater	benthopelagic	10	40	NA	NA	NA
Acanthochromis polyacanthus	shortand/ordeep	14	saltwater	reef-associated	1	65	dioecism	external	guarders
Acanthoclinus littoreus	elongated	20	saltwater	demersal	NA	NA	dioecism	external	guarders
Acanthocybium solandri	elongated	250	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Acantholabrus palloni	fusiform/normal	25	saltwater	reef-associated	30	500	dioecism	external	guarders
Acanthonus armatus	eel-like	37.5	saltwater	bathypelagic	1171	4415	dioecism	external	nonguarders
Acanthopagrus akazakii	shortand/ordeep	18.5	saltwater	demersal	NA	20	NA	NA	NA
Acanthopagrus australis	fusiform/normal	66	saltwater/brack	demersal	NA	NA	protandry	external	nonguarders
Acanthopagrus berda	shortand/ordeep	90	saltwater/brack/fresh	demersal	NA	50	protandry	external	nonguarders
Acanthopagrus bifasciatus	fusiform/normal	36.20000076	saltwater/brack	reef-associated	2	20	protandry	external	nonguarders
Acanthopagrus butcheri	fusiform/normal	60	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Acanthopagrus catenula	shortand/ordeep	36.40000153	saltwater/brack	reef-associated	NA	NA	NA	NA	NA
Acanthopagrus datnia	shortand/ordeep	50	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Acanthopagrus latus	shortand/ordeep	40	saltwater/brack/fresh	demersal	NA	NA	protandry	external	nonguarders
Acanthopagrus morrisonae	shortand/ordeep	45	saltwater	pelagic-neritic	NA	NA	protandry	external	nonguarders
Acanthopagrus pacificus	fusiform/normal	50	saltwater/brack	pelagic-neritic	NA	NA	NA	NA	NA
Acanthopagrus palmaris	shortand/ordeep	40	saltwater/brack	reef-associated	NA	NA	NA	NA	NA
Acanthopagrus vagus	shortand/ordeep	26.20000076	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Acanthoplesiops hiatti	elongated	2.400000095	saltwater	reef-associated	0	18	dioecism	external	guarders
Acanthostracion notacanthus	shortand/ordeep	50	saltwater	demersal	3	25	dioecism	external	nonguarders
Acanthostracion polygonium	shortand/ordeep	50	saltwater	reef-associated	3	80	dioecism	external	nonguarders
Acanthostracion quadricornis	shortand/ordeep	55	saltwater	reef-associated	1	80	dioecism	external	nonguarders
Acanthurus achilles	shortand/ordeep	24	saltwater	reef-associated	0	10	dioecism	external	nonguarders
Acanthurus albipectoralis	fusiform/normal	33	saltwater	reef-associated	5	20	dioecism	external	nonguarders
Acanthurus auranticavus	shortand/ordeep	45	saltwater	reef-associated	1	20	dioecism	external	nonguarders
Acanthurus bahianus	shortand/ordeep	NA	saltwater	reef-associated	2	80	NA	NA	NA
Acanthurus bariene	shortand/ordeep	50	saltwater	reef-associated	6	50	dioecism	external	nonguarders
Acanthurus blochii	shortand/ordeep	45	saltwater	reef-associated	2	15	dioecism	external	nonguarders
Acanthurus chirurgus	shortand/ordeep	39	saltwater	reef-associated	2	25	dioecism	external	nonguarders
Acanthurus chronixis	shortand/ordeep	28	saltwater	reef-associated	0	6	dioecism	external	nonguarders
Acanthurus coeruleus	shortand/ordeep	39	saltwater	reef-associated	2	50	dioecism	external	nonguarders
Acanthurus dussumieri	shortand/ordeep	54	saltwater	reef-associated	4	131	dioecism	external	nonguarders
Acanthurus fowleri	fusiform/normal	45	saltwater	reef-associated	2	50	dioecism	external	nonguarders
Acanthurus gahhm	shortand/ordeep	40	saltwater	reef-associated	1	40	dioecism	external	nonguarders
Acanthurus grammoptilus	shortand/ordeep	35.59999847	saltwater	reef-associated	22	91	dioecism	external	nonguarders
Acanthurus guttatus	shortand/ordeep	26	saltwater	reef-associated	0	8	dioecism	external	nonguarders
Acanthurus japonicus	shortand/ordeep	21	saltwater	reef-associated	1	20	dioecism	external	nonguarders
Acanthurus leucocheilus	shortand/ordeep	45	saltwater	reef-associated	3	40	dioecism	external	nonguarders
Acanthurus leucopareius	shortand/ordeep	25	saltwater	reef-associated	1	85	dioecism	external	nonguarders
Acanthurus leucosternon	shortand/ordeep	54	saltwater	reef-associated	0	25	dioecism	external	nonguarders
Acanthurus lineatus	shortand/ordeep	38	saltwater	reef-associated	0	15	dioecism	external	nonguarders
Acanthurus maculiceps	shortand/ordeep	40	saltwater	reef-associated	1	15	dioecism	external	nonguarders
Acanthurus mata	shortand/ordeep	50	saltwater	reef-associated	5	100	dioecism	external	nonguarders
Acanthurus nigricans	shortand/ordeep	36	saltwater	reef-associated	1	67	dioecism	external	nonguarders
Acanthurus nigricauda	shortand/ordeep	45.29999924	saltwater/brack	reef-associated	1	30	dioecism	external	nonguarders
Acanthurus nigrofuscus	shortand/ordeep	21	saltwater	reef-associated	0	25	dioecism	external	nonguarders
Acanthurus nigroris	shortand/ordeep	25	saltwater	reef-associated	1	90	dioecism	external	nonguarders
Acanthurus nubilus	shortand/ordeep	26	saltwater	reef-associated	5	90	dioecism	external	nonguarders
Acanthurus olivaceus	shortand/ordeep	35	saltwater	reef-associated	3	46	dioecism	external	nonguarders
Acanthurus pyroferus	shortand/ordeep	29	saltwater	reef-associated	4	60	dioecism	external	nonguarders
Acanthurus sohal	shortand/ordeep	40	saltwater	reef-associated	0	NA	dioecism	external	nonguarders
Acanthurus tennentii	shortand/ordeep	31	saltwater	reef-associated	1	40	dioecism	external	nonguarders
Acanthurus thompsoni	shortand/ordeep	27	saltwater/brack	reef-associated	4	119	dioecism	external	nonguarders
Acanthurus triostegus	shortand/ordeep	27	saltwater	reef-associated	0	90	dioecism	external	nonguarders
Acanthurus xanthopterus	fusiform/normal	70	saltwater	reef-associated	1	100	dioecism	external	nonguarders
Acentrogobius audax	fusiform/normal	10	saltwater/brack	demersal	NA	NA	NA	NA	NA
Acentrogobius caninus	elongated	18.29999924	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Acentrogobius moloanus	elongated	8.170000076	saltwater/brack	demersal	NA	NA	NA	NA	NA
Acentrogobius nebulosus	fusiform/normal	18	saltwater/brack/fresh	reef-associated	0	15	NA	NA	NA
Acentrogobius viridipunctatus	elongated	16.5	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Acentronura breviperula	elongated	5	saltwater	reef-associated	1	47	NA	NA	NA
Achiropsetta tricholepis	shortand/ordeep	39	saltwater	demersal	21	1186	NA	NA	NA
Achirus declivis	shortand/ordeep	18.70000076	saltwater/brack	demersal	NA	NA	NA	NA	NA
Achirus lineatus	shortand/ordeep	33.09999847	saltwater/brack	demersal	1	20	NA	NA	NA
Achirus mazatlanus	shortand/ordeep	22.5	saltwater/brack/fresh	demersal	10	60	NA	NA	NA
Achoerodus viridis	shortand/ordeep	62	saltwater	reef-associated	1	40	protogyny	external	nonguarders
Acipenser gueldenstaedtii	elongated	236	saltwater/brack/fresh	demersal	2	100	dioecism	external	nonguarders
Acipenser oxyrinchus	elongated	403	saltwater/brack/fresh	demersal	1	46	dioecism	external	nonguarders
Acipenser sturio	elongated	600	saltwater/brack/fresh	demersal	4	93	dioecism	external	nonguarders
Acreichthys radiatus	shortand/ordeep	7	saltwater	reef-associated	2	12	NA	NA	NA
Acreichthys tomentosus	shortand/ordeep	14	saltwater	reef-associated	2	15	dioecism	external	nonguarders
Acromycter longipectoralis	eel-like	NA	saltwater	bathypelagic	NA	580	NA	NA	NA
Acropoma japonicum	fusiform/normal	20	saltwater	bathypelagic	100	500	NA	NA	NA
Acropoma lecorneti	fusiform/normal	35	saltwater	bathypelagic	NA	360	NA	NA	NA
Acroteriobatus annulatus	elongated	140	saltwater/brack	demersal	75	NA	dioecism	internal(oviduct)	bearers
Acroteriobatus blochii	elongated	100	saltwater	reef-associated	NA	NA	dioecism	internal(oviduct)	bearers
Acroteriobatus leucospilus	elongated	56.5	saltwater	demersal	0	100	dioecism	internal(oviduct)	bearers
Acroteriobatus stehmanni	elongated	62.20000076	saltwater	demersal	36	43	NA	NA	NA
Acyrtops amplicirrus	elongated	1.860000014	saltwater	demersal	NA	NA	NA	NA	NA
Acyrtops beryllinus	elongated	2.5	saltwater	reef-associated	NA	NA	dioecism	external	guarders
Acyrtus artius	elongated	3	saltwater	reef-associated	NA	NA	NA	NA	NA
Acyrtus lanthanum	other(seeremarks)	2.380000114	saltwater	benthopelagic	0	7	NA	NA	NA
Acyrtus pauciradiatus	elongated	1.629999995	saltwater	demersal	NA	NA	NA	NA	NA
Acyrtus rubiginosus	elongated	3.5	saltwater	demersal	0	4	NA	NA	NA
Adventor elongatus	Elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Aeoliscus strigatus	elongated	15	saltwater	reef-associated	2	42	NA	NA	NA
Aesopia cornuta	shortand/ordeep	25	saltwater	reef-associated	8	100	dioecism	external	nonguarders
Aetapcus maculatus	elongated	21	saltwater	demersal	NA	NA	NA	NA	NA
Aethaloperca rogaa	shortand/ordeep	60	saltwater	reef-associated	3	60	protogyny	external	nonguarders
Aetobatus flagellum	other	72	saltwater/brack	benthopelagic	NA	NA	dioecism	internal(oviduct)	bearers
Aetobatus laticeps	other	230	saltwater	benthopelagic	NA	NA	NA	NA	NA
Aetobatus narinari	other	230	saltwater/brack	benthopelagic	1	80	dioecism	internal(oviduct)	bearers
Aetobatus ocellatus	other	300	saltwater/brack	benthopelagic	1	100	dioecism	internal(oviduct)	bearers
Aetomylaeus bovinus	other	NA	saltwater/brack	benthopelagic	10	150	dioecism	internal(oviduct)	bearers
Aetomylaeus maculatus	other	200	saltwater/brack	reef-associated	1	18	dioecism	internal(oviduct)	bearers
Aetomylaeus nichofii	other	65	saltwater/brack	demersal	1	70	dioecism	internal(oviduct)	bearers
Aetomylaeus vespertilio	other	240	saltwater	benthopelagic	1	110	dioecism	internal(oviduct)	bearers
Agonopsis chiloensis	elongated	12.5	saltwater	demersal	3	400	NA	NA	NA
Agonus cataphractus	fusiform/normal	21	saltwater	demersal	0	270	dioecism	external	nonguarders
Ahlia egmontis	eel-like	NA	saltwater	reef-associated	1	37	dioecism	external	nonguarders
Ahliesaurus berryi	elongated	26.89999962	saltwater	bathypelagic	0	2000	NA	NA	NA
Ahliesaurus brevis	Elongated	21	saltwater	bathypelagic	0	3000	truehermaphroditism	external	nonguarders
Aidablennius sphynx	elongated	8	saltwater	demersal	NA	NA	dioecism	external	guarders
Ailia coila	elongated	30	brack/fresh	pelagic	NA	NA	dioecism	external	nonguarders
Albula argentea	fusiform/normal	70	saltwater	demersal	2	90	dioecism	external	nonguarders
Albula glossodonta	fusiform/normal	90	brack	reef-associated	NA	10	dioecism	external	nonguarders
Albula goreensis	fusiform/normal	NA	saltwater	reef-associated	NA	NA	NA	NA	NA
Albula oligolepis	fusiform/normal	35.40000153	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Albula vulpes	fusiform/normal	104	saltwater/brack	reef-associated	0	84	dioecism	external	nonguarders
Alburnus alburnus	fusiform/normal	25	brack/fresh	benthopelagic	1	NA	dioecism	external	nonguarders
Alcockia rostrata	eel-like	35	saltwater	bathypelagic	2761	4040	dioecism	external	nonguarders
Aldrichetta forsteri	fusiform/normal	50	saltwater/brack/fresh	demersal	0	50	dioecism	external	nonguarders
Alectis alexandrina	shortand/ordeep	100	saltwater	pelagic-neritic	NA	70	dioecism	external	nonguarders
Alectis ciliaris	shortand/ordeep	150	saltwater	reef-associated	60	100	dioecism	external	nonguarders
Alectis indica	shortand/ordeep	165	saltwater/brack	reef-associated	20	100	dioecism	external	nonguarders
Alepes apercna	fusiform/normal	29.5	saltwater	demersal	5	80	dioecism	external	nonguarders
Alepes djedaba	fusiform/normal	40	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Alepes kleinii	fusiform/normal	18.20000076	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Alepes melanoptera	fusiform/normal	25	saltwater/brack	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Alepes vari	fusiform/normal	56	saltwater/brack	pelagic-neritic	0	10	dioecism	external	nonguarders
Alepisaurus brevirostris	elongated	96	saltwater	bathypelagic	640	1591	truehermaphroditism	external	nonguarders
Alepisaurus ferox	elongated	215	saltwater	bathypelagic	0	1830	truehermaphroditism	external	nonguarders
Alepocephalus antipodianus	elongated	66.19999695	saltwater	bathydemersal	430	1160	dioecism	external	NA
Alepocephalus fundulus	elongated	18	saltwater	bathydemersal	2324	3060	dioecism	external	NA
Alionematichthys minyomma	elongated	7.789999962	saltwater	reef-associated	0	9	dioecism	internal(oviduct)	bearers
Alionematichthys piger	elongated	8.399999619	saltwater	reef-associated	0	12	NA	NA	NA
Alionematichthys riukiuensis	elongated	7.869999886	saltwater	reef-associated	0	10	dioecism	internal(oviduct)	bearers
Allenbatrachus grunniens	elongated	30	saltwater/brack	demersal	NA	NA	NA	NA	NA
Allenichthys glauerti	shortand/ordeep	19	saltwater	demersal	145	NA	dioecism	external	nonguarders
Alloblennius parvus	fusiform/normal	2.599999905	saltwater	demersal	6	10	dioecism	external	guarders
